feature,fscore,overall
L2_S28_start_date_rank,0.00203767380248,True
L3_S29_F3382,0.00203731134271,True
L1_S24_F1514,0.00203624594165,True
L0_S5_end_date_id_diff_reverse,0.00203611109094,True
L2_S27_start_date_id_diff_reverse,0.00203286304552,True
L0_S5_start_date_id_diff,0.00202925274006,True
L3_S29_F3318,0.0020288649128,True
L0_S2_F36,0.00202156216899,True
L3_S50_start_date_id_diff,0.00201785267319,True
L2_S27_F3206,0.0020113129237,True
L1_S24_end_date_id_diff_reverse,0.00200627485157,True
L3_S34_time_span_rank,0.00200490959158,True
L3_S34_F3876,0.00200453337963,True
L1_S25_F2121,0.00200139649681,True
L0_S2_F44,0.00199480234933,True
L0_S14_F362,0.00199450247826,True
L3_S32_F3851,0.00199040560894,True
num_null_col_count,0.00199001958912,True
L1_S24_F1667,0.00198294280341,True
L3_S32_end_date_id_diff_reverse,0.00198286128148,True
L3_S38_end_date_id_diff_magic,0.00197681793337,True
L3_S41_F4011,0.00197465706601,True
L1_S24_start_date_id_diff,0.00197437830636,True
L1_S24_F1565,0.00196519424991,True
L1_S24_F1814,0.00195834504583,True
L1_S24_D1765,0.00195751754123,True
L0_S2_end_date_id_diff_reverse,0.00195726228597,True
L2_S26_time_span_rank,0.00195587508595,True
L2_S27_D3130,0.00195132391805,True
L1_S24_time_span,0.00194652312912,True
L3_S29_time_span_rank,0.00194480144247,True
L3_S30_F3499,0.00194355971828,True
L1_S24_D1587,0.00193810395283,True
L0_S23_start_date_id_diff,0.0019336446687,True
L3_S30_F3584,0.00193294239467,True
L1_S24_F1773,0.00192708964463,True
L0_S21_D469,0.00192398240251,True
L2_S27_F3214,0.00192252204771,True
L2_S26_D3041,0.00191679965383,True
L0_S10_end_date_id_diff_reverse,0.00191665999512,True
L1_S24_F1544,0.00191025564666,True
L3_S32_start_date_id_diff_reverse,0.00190989790775,True
L3_S29_F3442,0.00190346585519,True
L3_S30_F3634,0.00190222474645,True
L3_S37_start_date_id_diff_magic,0.00189574442864,True
L2_S27_start_date_id_diff,0.00189492634087,True
L0_S6_F122,0.00189356122748,True
L3_S33_D3860,0.00189341519452,True
L0_S18_start_date_id_diff_reverse,0.00189142717638,True
L0_S19_D454,0.00188770478664,True
L3_S30_F3669,0.00188654410911,True
L0_S8_start_date_id_diff,0.00187354314686,True
L1_S24_F1850,0.00186908976113,True
L3_S30_F3509,0.00186289974998,True
L0_S4_F104,0.00185615622757,True
L3_S30_F3514,0.00185551306816,True
L3_S35_F3896,0.00185312104979,True
L3_S29_F3449,0.00185268871922,True
L3_S48_D4194,0.00184842883549,True
L0_S14_start_date_id_diff_reverse,0.00184062963305,True
L1_S25_F1938,0.00183710961421,True
L0_S20_start_date_id_diff_reverse,0.00183116497748,True
L0_S8_D145,0.00182425115081,True
L0_S7_D137,0.00181888965578,True
L0_S20_start_date_id_diff,0.0018119031331,True
L3_S30_F3579,0.00181120504178,True
L3_S32_start_date,0.00180431809884,True
L3_S30_F3664,0.00180309499116,True
L0_S0_F10,0.00179965576644,True
L0_S5_F114,0.00179865337874,True
L3_S33_end_date_id_diff_reverse,0.0017926682303,True
L3_S38_F3960,0.00177895295497,True
L0_S12_D333,0.00177341190207,True
L0_S2_start_date_id_diff,0.00176918541625,True
L0_S9_F200,0.00176757710867,True
L1_S24_F1822,0.00176392255659,True
L0_S9_D157,0.00176332874294,True
L0_S5_start_date,0.00176311195261,True
L3_S36_D3921,0.00175999633863,True
L3_S42_end_date_rank,0.00175920551304,True
L1_S24_end_date,0.00175637966983,True
L0_S11_start_date_id_diff_magic,0.00175612149048,True
L0_S7_F142,0.00175524988798,True
L0_S3_start_date_rank,0.00175409017169,True
L3_S32_end_date_rank,0.00174881359617,True
L3_S34_start_date_rank,0.0017484763668,True
L0_S2_end_date_id_diff,0.00174582089532,True
L1_S25_D2098,0.00174295708427,True
L0_S0_F18,0.00174017978636,True
L0_S18_F439,0.0017398219267,True
L3_S41_end_date_rank,0.00173758803683,True
L0_S10_time_span_rank,0.0017341031178,True
L3_S30_F3549,0.00172810635728,True
L3_S35_time_span_rank,0.00172784706531,True
L3_S40_start_date_id_diff,0.00172645005858,True
L1_S24_F1172,0.00172328541163,True
L0_S10_F234,0.00172241493298,True
L0_S9_D152,0.00171798756136,True
L0_S17_D432,0.00171665192093,True
L0_S6_start_date_id_diff,0.00171445444298,True
L0_S1_end_date_rank,0.00171257694285,True
L0_S10_start_date_id_diff_reverse,0.00170684319543,True
L0_S14_D360,0.00170508050629,True
L3_S29_F3452,0.00170476150114,True
L3_S29_F3461,0.00170372571368,True
L0_S0_F8,0.00169454141824,True
L3_S30_F3644,0.0016919740302,True
L1_S24_end_date_id_diff,0.00168606888649,True
L0_S9_start_date_id_diff_reverse,0.00168311357195,True
L3_S30_F3624,0.00167494880042,True
L0_S15_start_date_id_diff,0.00167438052125,True
L0_S21_D494,0.00166759310728,True
L0_S20_D462,0.0016672518582,True
L0_S22_F546,0.0016643906268,True
L1_S24_F1842,0.00166415862249,True
L3_S30_F3684,0.00166003022642,True
L0_S18_end_date,0.00165915645064,True
L0_S9_F185,0.00165677530817,True
L1_S24_F1366,0.0016501650165,True
L0_S8_start_date_rank,0.00164886573565,True
L2_S26_F3036,0.00164537653179,True
L0_S6_start_date_rank,0.00164511105397,True
L3_S50_end_date,0.00164473684211,True
L0_S2_start_date_rank,0.00164016305542,True
L1_S25_start_date_id_diff_reverse,0.00163904295588,True
L3_S41_F4008,0.00163834511143,True
L0_S21_D474,0.0016355018752,True
L0_S13_F354,0.00163294790853,True
L3_S36_end_date_id_diff,0.00162803774905,True
L0_S22_F551,0.00162116469692,True
num_active_ts_cnt,0.00161693864636,True
L1_S25_start_date,0.00160992406551,True
L0_S6_end_date_rank,0.00160970434107,True
L3_S29_F3473,0.00160770181841,True
L3_S35_start_date_id_diff_reverse,0.00160419655105,True
L1_S25_D1898,0.00160255994743,True
L1_S25_start_date_id_diff,0.00159160182955,True
L0_S13_end_date,0.00158686005239,True
L3_S29_F3385,0.00158681552098,True
L1_S25_F2101,0.00158389742529,True
L3_S41_F4023,0.00158336175228,True
L0_S9_start_date_id_diff,0.00158266124004,True
L0_S7_end_date_id_diff_magic,0.00158187232876,True
L3_S38_end_date_id_diff,0.00157735517073,True
L0_S4_end_date_id_diff_reverse,0.00157673421118,True
L0_S2_D34,0.00157639649938,True
L0_S3_F80,0.00157429107385,True
L0_S22_end_date_id_diff_magic,0.00156985871272,True
L0_S22_end_date_id_diff_reverse,0.00156985871272,True
L1_S24_F1637,0.00156965800685,True
L1_S24_F1652,0.00156835704176,True
L0_S16_end_date_id_diff_reverse,0.00156763297686,True
L3_S30_start_date_rank,0.00156237935619,True
L0_S19_end_date_id_diff,0.00155880697294,True
L0_S19_end_date_id_diff_reverse,0.00155250442278,True
L0_S1_D26,0.00155108024237,True
L0_S2_F48,0.00155091680414,True
L1_S25_F1929,0.00154852313647,True
L0_S16_start_date_id_diff,0.00154831476992,True
L0_S10_F224,0.0015346444979,True
L0_S22_F596,0.00153180696222,True
L0_S15_F418,0.00151164998606,True
L0_S11_F302,0.00150935977996,True
L0_S22_F556,0.00150596924354,True
L3_S29_F3357,0.0015051152656,True
L3_S29_D3319,0.00150342096159,True
L3_S33_end_date_rank,0.00149609590935,True
L3_S30_time_span_rank,0.00149319142376,True
L0_S10_start_date_id_diff,0.00149124388402,True
L3_S40_F3980,0.00148661208447,True
L0_S11_F310,0.00148129530882,True
L0_S7_end_date_rank,0.00147808524084,True
L1_S24_F1824,0.00147613429336,True
L0_S7_start_date_id_diff_magic,0.00147339353669,True
L0_S0_F22,0.00147259831041,True
L1_S24_F1831,0.00147251765342,True
cat_null_col_count,0.00147117281004,True
L1_S24_F1793,0.00146785357282,True
L0_S0_F14,0.00146679089962,True
L2_S27_F3140,0.00146302001393,True
L0_S7_end_date_id_diff,0.00145142200528,True
L3_S29_F3421,0.00145023165889,True
L1_S24_F1569,0.00144881004771,True
L3_S48_F4198,0.00144389975051,True
L3_S38_F3956,0.00144197949469,True
L0_S8_end_date_id_diff_reverse,0.00144038480156,True
L3_S30_F3559,0.00143819128954,True
L3_S49_start_date_id_diff,0.00143597214877,True
L3_S30_F3569,0.0014314863131,True
L3_S35_end_date_id_diff_reverse,0.00142244638479,True
L0_S2_end_date,0.00141917497701,True
L0_S22_D543,0.00141837559287,True
L3_S30_F3674,0.00141832129579,True
L0_S0_start_date_rank,0.00141678135578,True
L0_S6_end_date_id_diff,0.0014117003634,True
L1_S25_start_date_id_diff_magic,0.00141146450745,True
L3_S51_start_date_rank,0.00140771238321,True
L0_S10_D221,0.00140521060991,True
L0_S4_end_date_rank,0.00139910085393,True
L0_S14_end_date,0.00139359477311,True
L0_S16_D423,0.00139271869952,True
L0_S13_start_date_rank,0.00138891696956,True
L2_S28_time_span_rank,0.00138449138204,True
L0_S4_D111,0.0013821098666,True
L1_S24_F1512,0.00137738707433,True
L3_S29_F3401,0.00137517367107,True
L0_S17_start_date_rank,0.00136987529292,True
L0_S23_D617,0.001369632027,True
L0_S2_F64,0.00136703042077,True
L2_S26_F3047,0.00136326719692,True
L0_S12_start_date_id_diff,0.00135988543394,True
L1_S24_F1685,0.00135796098192,True
L3_S29_F3367,0.00135393370505,True
L0_S12_F352,0.00135178378727,True
L3_S38_D3957,0.00135012982291,True
L0_S22_F586,0.00134680368305,True
L3_S35_F3889,0.00134431443149,True
L0_S16_time_span_rank,0.00134045648534,True
L3_S30_F3529,0.00133745543326,True
L2_S27_F3155,0.00133655149631,True
L3_S43_start_date_rank,0.00133056246332,True
L1_S25_F2031,0.00132978723404,True
L0_S10_D226,0.00132395728915,True
L0_S18_end_date_id_diff_reverse,0.00132218518098,True
L3_S36_start_date_id_diff_magic,0.00132042531604,True
L3_S30_F3679,0.00131780417305,True
L0_S12_F348,0.00131592209903,True
L1_S25_F2158,0.00131227967465,True
L0_S19_start_date_rank,0.00131097158859,True
L3_S35_end_date_rank,0.00130987209283,True
L0_S22_start_date_id_diff,0.0013051614493,True
L0_S19_F459,0.00130491974424,True
L1_S25_F2136,0.00130434263538,True
L1_S25_F1900,0.00130393280362,True
L3_S45_F4124,0.00130369233808,True
L1_S24_F1700,0.00130195390933,True
L1_S25_end_date,0.00129559018553,True
L3_S29_F3404,0.00129258115691,True
L1_S24_D1809,0.00129006079631,True
L0_S15_F397,0.0012887129599,True
L3_S43_D4067,0.00128755227174,True
L0_S22_end_date_id_diff,0.00128704610216,True
L3_S29_F3439,0.00128328846098,True
L0_S12_F332,0.00128304221215,True
L3_S29_F3482,0.0012758907024,True
L0_S21_F537,0.00127414110484,True
L0_S13_D355,0.0012706480305,True
L2_S28_start_date_id_diff,0.0012706480305,True
L0_S3_end_date_id_diff_reverse,0.00126979713684,True
L3_S41_F4020,0.00126848656443,True
L1_S25_F1978,0.00126790062766,True
L3_S36_F3924,0.00126473553686,True
L3_S34_end_date_rank,0.00126337032494,True
L1_S24_F1743,0.00126223342435,True
L3_S50_start_date_rank,0.00125833229393,True
L0_S9_F170,0.00125828834145,True
L0_S11_end_date_id_diff,0.00124725090862,True
L0_S11_time_span_rank,0.0012459975853,True
L0_S11_F314,0.00124599443882,True
L0_S20_start_date,0.00124552523684,True
L0_S2_F40,0.00124274508973,True
L2_S26_F3051,0.00124266890036,True
L2_S26_end_date_id_diff_reverse,0.00123972371152,True
L0_S8_end_date_id_diff,0.00123806495824,True
L3_S29_F3412,0.00123366751754,True
L3_S34_D3881,0.00123258997139,True
L3_S50_time_span_rank,0.00123217551414,True
L0_S23_F655,0.00123142203775,True
L2_S26_F3113,0.00122322539317,True
L0_S8_end_date_rank,0.00121914349692,True
L3_S48_start_date_rank,0.00121794594343,True
L0_S6_time_span_rank,0.00121397490084,True
L3_S29_F3370,0.00120760749778,True
L0_S3_end_date_id_diff,0.0012075169866,True
L2_S27_start_date_rank,0.00120370393965,True
L0_S11_F294,0.00120052913898,True
L3_S29_F3476,0.00119963751458,True
L3_S44_D4101,0.00119542794197,True
L3_S43_end_date_rank,0.00119421363646,True
L0_S23_F651,0.00119091464397,True
L3_S41_F4016,0.00119046749382,True
L3_S47_start_date,0.00118901332557,True
L0_S1_D30,0.00118891223814,True
L1_S24_F1763,0.00118857665979,True
L1_S24_time_span_rank,0.00118698146165,True
L0_S4_time_span_rank,0.00118621369705,True
L0_S12_F350,0.00118616186581,True
L0_S5_D117,0.00118528774683,True
L1_S24_F1827,0.00118343570771,True
L0_S17_time_span_rank,0.00118233096603,True
L1_S25_F2016,0.0011801067754,True
L0_S11_F306,0.0011794681149,True
L0_S20_start_date_id_diff_magic,0.00117881304488,True
L2_S26_F3117,0.00117820928767,True
L0_S14_time_span_rank,0.0011763738783,True
L0_S19_time_span_rank,0.0011738303912,True
L0_S21_F497,0.00117327447746,True
L0_S8_start_date_id_diff_magic,0.00117240726679,True
L2_S27_end_date_id_diff,0.00116900621765,True
L3_S37_D3943,0.00116833797297,True
L0_S13_F356,0.00116728226798,True
L3_S48_time_span_rank,0.00116639256448,True
L0_S14_end_date_id_diff_reverse,0.0011649154336,True
L0_S9_F195,0.00116433420187,True
L3_S30_end_date_id_diff_magic,0.00116353220527,True
L0_S21_start_date_id_diff,0.00115988030196,True
L1_S24_F1818,0.00115630599338,True
L0_S10_start_date_rank,0.00115572865108,True
start_date_id_diff_magic,0.00115103200251,True
L3_S36_end_date_id_diff_reverse,0.00114689900319,True
L0_S14_end_date_id_diff,0.0011451804365,True
L2_S28_end_date_id_diff_magic,0.00114325662432,True
L3_S30_F3539,0.00113503997208,True
L3_S29_F3388,0.00113160259046,True
L1_S25_start_date_rank,0.00113142724252,True
L2_S27_F3144,0.00113125813894,True
L3_S29_end_date_rank,0.00113099689332,True
L0_S9_time_span_rank,0.00112836624043,True
L1_S24_F1594,0.00112759008208,True
L0_S5_start_date_id_diff_magic,0.00112691832545,True
L3_S37_time_span_rank,0.00112643814118,True
L3_S38_start_date_id_diff,0.0011250732152,True
L0_S1_time_span_rank,0.00112474227348,True
L3_S47_F4163,0.00112345980006,True
L1_S25_end_date_id_diff,0.00112320616916,True
L0_S3_time_span_rank,0.00111797276616,True
L1_S25_D1867,0.00111611188952,True
L3_S51_end_date_id_diff,0.00111404244881,True
L3_S33_D3872,0.00111172873819,True
L3_S41_F4014,0.00110802741741,True
L0_S18_start_date,0.00110798918037,True
L1_S24_F1578,0.0011065447563,True
L0_S18_start_date_id_diff,0.00110506658938,True
L3_S29_F3467,0.00110079527352,True
L0_S6_D127,0.00109842256396,True
L0_S21_F477,0.00109746725826,True
L0_S18_F449,0.00109676566599,True
L0_S14_start_date,0.00109649122807,True
L0_S23_start_date,0.00109649122807,True
L0_S7_start_date,0.00109649122807,True
L3_S47_end_date,0.00109649122807,True
L0_S2_start_date_id_diff_magic,0.00109247073542,True
L3_S35_D3905,0.00109156486053,True
L3_S48_start_date,0.00109143976691,True
L0_S4_end_date_id_diff,0.00109031264126,True
L0_S16_start_date,0.00108878615457,True
L3_S32_start_date_id_diff_magic,0.00108845746902,True
L0_S2_end_date_rank,0.00108548669243,True
